,std(mu),Diversity
170,0.09483889,8.401762941
171,0.030057613,6.500814157
172,0.118594423,3.610324423
173,0.094455724,4.496108988
174,0.009525788,14.73934838
175,0.100956579,3.696164387
176,0.090722632,5.759467835
177,0.122949709,4.003315638
178,0.065683481,3.711516288
179,0.06264805,4.406862602
180,0.133995246,4.639661534
181,0.038247166,8.417927612
182,0.073556914,4.655898981
183,0.129579829,3.808140326
184,0.047454606,6.470471179
185,0.040791177,6.318650066
186,0.097162317,3.76287692
187,0.034333235,5.59372665
188,0.093961062,4.567731705
189,0.147067749,4.058835525
190,0.074742873,4.044232722
191,0.024684271,9.449544075
192,0.062319345,4.152491533
193,0.063918477,6.17040969
194,0.061077962,5.242973246
195,0.101613754,4.010694722
196,0.048518536,6.536362948
197,0.021936704,7.794459406
198,0.039326363,7.197541342
199,0.130395469,2.857950199
200,0.046569694,3.323393414
201,0.011404905,12.22590462
202,0.034121931,7.792850026
203,0.13884058,4.008631866
204,0.056163698,4.037220283
205,0.065883921,3.162799296
206,0.083672555,6.778735588
207,0.030492761,6.06041349
208,0.059637601,4.543400171
209,0.051183391,8.490188301
210,0.103270917,6.339149891
211,0.018233698,9.259038163
212,0.105640243,4.540408667
213,0.071898975,5.393132011
214,0.047832017,6.858617402
215,0.060422532,4.274013146
216,0.041958506,5.751401561
217,0.012548254,13.55297998
218,0.079039088,2.272672562
219,0.047464101,5.443502173
220,0.116448782,4.285766735
221,0.069786207,5.142929929
222,0.044430138,4.43358556
223,0.143269866,5.486773832
224,0.06354714,3.163342798
225,0.079190532,5.206223852
226,0.093669076,3.700310662
227,0.106150669,2.486886424
228,0.10813522,2.321254026
229,0.106473353,3.326265791
230,0.044089948,4.023043864
231,0.021702644,9.714873242
232,0.119178701,3.615765611
233,0.003733142,18.91196391
234,0.150765813,5.18968899
235,0.04962625,6.573466686
236,0.102471963,3.36044216
237,0.027956078,9.480390353
238,0.070741687,4.016785223
239,0.085782058,2.862084034
240,0.147516105,5.410049393
241,0.052770877,4.276264195
242,0.134762825,3.022253765
243,0.036404971,8.082587468
244,0.018745405,8.698078438
245,0.028636756,7.556925391
246,0.030768779,8.564990469
247,0.06821809,4.352016111
248,0.104636381,5.757360838
249,0.131375864,4.045793011
250,0.018733195,9.767729644
251,0.114437641,3.014977053
252,0.052213683,4.772977533
253,0.106826562,2.984305824
254,0.101600897,4.424394128
255,0.029888541,6.970634978
256,0.033526256,6.909707075
257,0.037082763,7.349689616
258,0.073968088,4.075473006
259,0.131420183,5.866859587
260,0.042629979,4.693903023
261,0.139997671,6.607779366
262,0.107325945,5.615558181
263,0.11556986,4.344447286
264,0.119844972,4.903991412
265,0.041313378,6.373506626
266,0.089113109,5.443765443
267,0.041243674,4.848065094
268,0.048644271,4.391692256
269,0.114585186,3.114714499
270,0.022758079,9.722321791
271,0.041776846,8.176339652
272,0.049065858,6.925720809
273,0.096874336,3.377084914
274,0.118476624,3.41103046
275,0.1060965,6.236641144
276,0.082098305,5.056483805
277,0.097673796,3.778457589
278,0.096568047,2.621871729
279,0.005116216,18.01710155
280,0.070272778,5.730099643
281,0.125719934,4.785702949
282,0.048772084,4.161907852
283,0.065395236,3.947626408
284,0.076624972,3.015001318
285,0.041679605,5.910668458
286,0.076078751,2.590862374
287,0.060799039,6.158891752
288,0.090559759,5.297248441
289,0.042058602,9.927330912
290,0.003393681,19.06789053
291,0.025168772,10.67870139
292,0.059755878,7.682548881
293,0.054500073,5.097275172
294,0.000647529,19.96284208
295,0.045179906,6.113905223
296,0.113317399,3.177766554
297,0.069151194,5.183383767
298,0.049293552,6.493346034
299,0.120743773,3.781401464
