,0
531,2.3372054576409558
532,2.5585688364995938
533,2.437014051054647
534,2.9037335104188204
535,2.2983498598078427
536,3.1929980921468584
537,2.542552215607941
538,2.0318752594746314
539,1.2043846465600294
540,2.582302570031405
541,3.1685952009381273
542,1.6728019878002591
543,2.205478438081578
544,2.90245862740951
545,2.1096136697282333
546,2.038549887245073
547,3.931569766079172
548,2.9664985850753025
549,2.606130832202567
550,1.8605094289296997
551,3.207859344338036
552,2.5486431416245594
553,3.4107151572719276
554,1.8103017842203692
555,2.149110041169793
556,1.2925949609477574
557,4.53898193209513
558,2.2519125038833634
559,3.4250163483166953
560,3.566164755873767
561,2.8330071780046953
562,3.682008223572317
563,3.2838664623151503
564,3.072777783840467
565,2.3134702015534314
566,2.8724952227698837
567,3.269422972255152
568,2.965149541203807
569,2.1220755026827613
570,1.3681297787707183
571,4.419022546686133
572,2.5231736996144716
573,3.2094595058524154
574,3.879181233145985
575,2.4189779092608665
576,3.140050222862454
577,2.0816371989865905
578,3.863100417756199
579,2.5873763704293142
580,1.9685811555211346
581,4.155768864959752
582,1.665027095696739
583,1.2891607004387482
584,2.430260457245026
585,3.0849101359890114
586,4.789302603820156
587,2.915583784091322
588,2.6428430132458867
589,1.9888908707944877
590,2.9367810627378557
591,3.6616665119271024
592,2.431934633853664
593,1.0793039894010945
594,4.2249701196613465
595,1.623666552067017
596,1.385830659107224
597,3.6011855458895696
598,3.102731488724255
599,2.857123261302737
600,2.7143911529661064
601,1.9719144238283335
602,2.7274635042926594
603,3.7444892136512524
604,3.6968866501755877
605,4.228909843938401
606,2.784188787197455
607,2.9932184795958086
608,3.0138899684310516
609,2.01236862516858
610,1.803073452144394
611,2.136067982928815
612,3.6295443560430938
613,1.6538377909342281
614,3.1648332807410298
615,3.7934998538504967
616,3.6910925711010267
617,1.7108834712782175
618,2.6426945639929937
619,2.2532099113223634
620,2.6461744862702297
621,2.603595544284287
622,3.1926323607546587
623,2.9576590133242
624,2.523130874904637
625,1.6439416249458847
626,2.5159912969693
627,1.9692575122351401
628,2.5812354220619094
629,3.5494982642481823
630,2.753002010505602
631,2.6800781444920907
632,2.761623559426747
633,3.7398834264641505
634,4.107063457874205
635,3.0691213668891915
636,1.6464751528033401
637,2.7885267131474984
638,3.548908409783931
639,5.922128431490759
640,2.3026887412914823
641,6.383697489353851
642,4.704482909460166
643,1.9008242087486096
644,1.7248790804784693
645,2.934870927702362
646,3.7643967016818407
647,3.004659996165063
648,2.572991655585738
649,2.7389795909697394
