,Eta=0,Eta=0.2
323,4.863961149,16.36331226
324,7.601843031,17.46904964
325,4.69657922,17.64210783
326,6.402363696,17.26841346
327,5.93467522,19.33598915
328,5.637670784,14.16870248
329,5.361233535,9.629377522
330,5.578282362,10.65253128
331,4.8268138,19.12080707
332,5.284398539,17.278965
333,7.519808189,18.6370484
334,5.763136633,18.20565512
335,7.793186603,17.34567533
336,6.618368393,17.91283542
337,7.004800113,16.66148085
338,4.446568843,18.25683587
339,8.737931185,15.22615192
340,5.056566823,18.44109026
341,6.508442017,15.19646977
342,6.271577404,18.60205394
343,6.090993128,17.9035591
344,7.188419261,16.57007785
345,4.624960126,16.55095568
346,5.384539117,14.2755245
347,6.560626349,18.04449257
348,7.426793722,9.878155638
349,6.084717614,14.04019434
350,5.657932745,18.52526907
351,3.798866247,16.14680555
352,6.186088437,16.43334489
353,5.913903361,15.97421373
354,4.244645125,18.85515016
355,5.514688315,17.29027117
356,6.389127901,18.25416626
357,6.263342103,18.90838304
358,5.062697816,19.27336059
359,8.574707859,18.77994338
360,4.819302443,18.30261755
361,6.204191809,18.82202641
362,7.063854373,19.68211933
363,6.76230892,17.5282335
364,6.238533507,17.6027313
365,6.374046868,18.64814979
366,6.128496894,10.91367802
367,4.732734597,14.28491651
368,4.104184776,17.96148574
369,5.467491108,14.14501317
370,6.793318624,16.42124854
371,6.497525574,18.22924221
372,7.220351329,16.55499211
373,5.514269211,19.94073085
374,7.848930864,19.48687877
375,5.300842276,16.65164706
376,7.632017299,16.67419538
377,4.495476345,18.64705187
378,6.278146547,17.08288871
379,5.28431818,16.56435304
380,5.797176508,14.3840886
381,5.455278262,15.77696801
382,9.503834925,13.94619849
383,7.653031639,15.31110244
384,7.158847732,13.42303849
385,5.647995676,16.71682547
386,7.965513869,16.60882856
387,5.544104251,19.55351221
388,7.310534576,12.86570885
389,6.586935688,18.30430518
390,7.410767349,19.01682126
391,4.478656371,16.47236545
392,5.712724199,17.65034316
393,6.79355487,11.52239092
394,6.631282125,11.90240288
395,6.689412585,19.54611383
396,6.674030356,10.98234714
397,4.963647503,18.04748814
398,7.82067763,15.2276547
399,5.775654426,18.73117512
400,4.833973191,9.044631614
401,6.551387594,19.65197942
402,4.730513772,19.34559203
403,4.894897165,16.79090769
404,5.737852407,18.52917111
405,6.62709172,14.08032208
406,5.444147631,19.30877726
407,5.701822617,17.8558504
408,6.057123029,17.37064825
409,7.251112478,10.75089955
410,5.163795672,15.19478169
411,4.495094816,17.61848007
412,6.164850932,16.48434405
413,5.655166781,18.70957423
414,5.146333004,12.29839585
415,7.185357692,18.05425986
416,6.855954936,18.80749919
417,6.27686687,18.84311759
418,3.895560637,18.20140741
419,6.091746911,17.69397802
420,7.513916022,15.57128073
421,4.827049196,14.84945812
422,5.527260241,19.13224676
423,5.13714876,17.86259808
424,6.268225435,18.99537736
425,5.919912595,17.73855626
426,5.763920496,18.98017768
427,5.524581508,17.55859049
428,6.101831082,11.19552702
429,6.142385877,16.45903575
430,4.468876686,15.43331699
431,7.591148233,19.47060996
432,6.469724807,17.21447357
433,6.44536154,17.8551032
434,6.680044447,17.98976111
435,4.039383728,15.01765665
436,3.847907218,18.82003683
437,8.549649041,15.50325766
438,6.486216643,19.33683085
439,5.124759889,17.30176903
440,7.540839458,18.95836694
441,7.40299766,17.37056098
442,6.570907801,18.10410107
443,6.336420967,15.4281814
444,6.421755706,17.84820456
445,4.541067244,14.81137984
446,6.394850629,18.39011622
447,6.088152555,12.91816862
448,5.011909941,13.41576513
449,7.280890343,18.75072177
450,5.630333388,18.84618793
451,6.95787254,15.32841053
452,5.926785459,16.89194787
453,8.494419438,13.22000066
454,6.314514565,18.89244768
455,5.773045581,15.12841268
456,6.212364924,18.01554788
457,7.496129936,11.7297068
458,9.062708946,18.09855742
459,4.77644922,17.63559825
460,5.093600204,15.40217126
461,7.114404433,14.02773377
462,5.155644087,14.53180032
463,8.234043961,17.8308227
464,5.834905648,16.49513321
465,6.694588549,15.29756532
466,5.87526573,17.71201191
467,8.768679587,16.35931344
468,5.439211227,18.02505527
469,5.582444378,17.38162068
470,4.12935863,17.71763217
471,4.930699513,18.31044568
472,5.131813948,18.30911374
473,5.27462482,17.98456747
474,6.275302955,16.32985963
475,6.284174638,18.56536469
476,6.486573311,18.25112881
477,5.65196325,19.66387185
478,5.581864187,17.76091183
479,7.123125468,18.45609352
480,4.795251731,16.94105339
481,5.180535761,18.95229026
482,4.239757494,16.90382972
483,8.53743787,14.90277089
484,5.60204275,7.776479814
485,6.631930281,19.18608476
486,5.824644225,18.44343072
487,5.364319292,11.59262293
488,6.481854889,17.0773397
489,3.802325404,11.96512462
490,4.165808583,17.42614696
491,5.04862489,12.57951845
492,6.307992306,18.43988244
493,6.557839638,13.57513879
494,5.885457302,16.83099636
495,7.686570967,17.34839682
496,5.042085901,18.80863687
497,6.406030716,18.31230892
498,5.612648137,15.94532185
499,4.834692144,16.16834681
500,3.534397964,17.81297251
